text,label,notes,prelabeled
I am happy to see that Shion Wakayama has been getting her flowers too and like you said she adds so much emotional depth to Takina who easily could come across as uncaring and indifferent. Her and Chika Anzai just make such an insanely great VA duo. Need to see a compilation video of Chisato feeding Takina all over the world.,hot_take,,True
"I don't see Ruri becoming a Guard though. But Maybe she can learn, though it feels late for that kind of training.",hot_take,,True
"Not sure if this changes your opinion of Mika but I think it's important to note that Jin had the chance to kill Mizuki who was in the way of his mission but tied her up instead. Still a hit man of course but I don't think he takes joy in killing randoms. That was a theory I heard back in the day too, but really is ironic that the girl with the biggest heart doesn't even have one that beats. Makes me wonder just what Takina is thinking after putting her head on Chisato's chest. Chisato also plays it off as it being cool though I doubt that will quell Takina's concerns. That type of mind set of the Alan Institute just makes me distrust them greatly. It almost feels like they believe Chisato belong to them.",analysis,,True
"""Forget about soccer, it's time to kill each other""",reaction,,True
"I've played 5 and am close to beating 3, but haven't played 4 yet! Will she beat Kasumi?",reaction,,True
I feel like Saito's kinda given up on returning at this point but I guess we'll see,hot_take,,True
Probably? Poor girl was never in the race,hot_take,,True
\>[We get a six-month timeskip to Akane's graduation day]( And it's also going be a six-month wait period for the next season!😄,reaction,,True
Wouldn't have been right to leave things off when they haven't even been officially married yet after all,reaction,,True
"Farewell Akane's high school life, we only really experienced you for like 3-4 episodes. But I hope we see Iwa again (maybe dating Koguma...).",reaction,,True
ghost stories dub lives rent free lol 😆,reaction,,True
The reaction across the unsuspecting anime-only fandom is going to be *delicious*.,reaction,,True
Honestly they'd committed to so much drama I really thought they'd commit to Ruri's death but I'd never been more happier to be wrong. Though I guess this also means the God of the Seasons legit didn't care that Ruri wasn't 100% dead it just immediately jumped to Ayame because she was the most convenient.,hot_take,,True
"I still watch all the isekai slop, but I'm never going to pretend it's anything other than slop",hot_take,,True
"Alas, I stopped playing 5 before I really got to her part, so I can't guarantee it. But at least she's the best of 4.",reaction,,True
"\[1st time watcher\] (1) Damn, a robotic heart? I was as surprised as takina… Like, what? It might explain part of Chisato's physical prowess though, not being restrained by the limits of a human heart. There's also (or will be) a comment on ""how to love with a mechanical heart"" or something along those lines hidden out there, I think. With Kurumi pointing out it was a gift from the Alan organisation, my Arika-Major Wong comparison from yesterday resonates, the gratitude/fondness Chisato feels is due to them litteraly saving her life, allowing her to keep on living (gives context to last ep's ""people eat a finite number of meals"" now that I think of it). I have a feeling it was when she was a child, although it could be after the Tower indicident. 1 month passed. I thought we'd get a reaction from Takina at least about all the Lycoris that died in the subway... Kurumi's dialogue hints at the fact that they know about the incident, and thus, the KIAs. [Pretty smile]( Takina the fondler. Also, Chisato now wears her pendant on top, like Takina told her. I was worrying they snuk up a shot of robota's drone in plain sight during the cute tourism montage but it was actually Kurumi's. Would have been incredible though. Damn, I thought Mizuki would be gone when Jin caught her! The rest of the cafe took it quite lightly too. That gunpunch was powerful! Takina says ""told you I would handle it"", what a brat, she was totally in a huge pinch though, disarmed and all... Maybe (probably) th",analysis,,True
"PSA [there is an after credits scene!]( [Nadeshiko's alive thank god!]( [Oh god in a moment of carelessness, Ruri got shot]( [Older sister protective emotion]( + [power manifestation]( = [Rage Killing Spree]( [Thank goodness Rindo and Nadeshiko showed up to stop her from killing herself]( [OK, I swear Nadeshiko's power is the most badass one]( [Guess we have 2 Summer agents now eh?]( [Next Episode: spring flowers that bloom in winter](",reaction,,True
"Hey, guys. Holofan4life here. Welcome to the Familiar of Zero 20th anniversary rewatch. Tsundere fans rejoice! This is the second part of a three part series involving rewatches of shows with Rie Kugimiya as the main female heroine. The first part was Shakugan no Shana, and the last will be Hayate the Combat Butler with a rewatch in 2027. For those who remember, I did a rewatch of Familiar of Zero in 2023. That was really when I started to dip my toe in the water in terms of doing rewatches for a full time basis. And I remember the show better better than its reputation suggests. I consider Familiar of Zero to be my guilty pleasure anime. It's not perfect, but it does a lot of stuff good. Also, it features a good mix of action, romance, comedy, drama, and Rie Kugimiya at arguably her most helplessly adorable. What's not to like? We'll get to it... I'm entirely doing this rewatch because I love tsunderes. And as extreme as the show can be at times, I have a massive soft spot for Louise and Saito and the world this show embodies. With that out of the way, let’s begin. I'm watching the sub, by the way. The back of my throat is so scratchy. I hope I'm not sick. If I don't get a job by tomorrow, I'mma lose it. Louise in a grassy field She sees Tabitha and Saito being close to each other. But Louise can't use her explosion magic. I can hear Rie Kugimiya say the word Explosion in English all day long. Can't use any magic And then Louise wakes up Well, that explains that weird screen",hot_take,,True
It might just be me but I don't your imgur links are broken Very interesting though how Chisato's issue isn't with Takina touching them but just not in public which is fair. Takina does not have the social skills to know about the right timing. Also that Lycoris death was just brutal and feels like Majima doesn't have any street honor as it was a surprise attack,analysis,,True
Reincarnation of the strongest exorcist in another world. Is it trash isekai? Absolutely. But its my favorite god damn trash and ill fight anyone who says it sucks,hot_take,,True
Fairy tail because it has erza scarlet,reaction,,True
"Sadly it's never the ""I love you""s or kisses that you remember. You remember that time you fought, all the times you've been at each others throats, that one time he leaned in to kiss someone else right in front of you (which is still his worst offence BY FAR). And you start to spiral and wonder if everything he said was a lie and if you're worthless like you always thought. And yet you can't bring yourself to break up because if you do you have absolutely nothing left What Holo did for you then is what Guitar-Bocchi did for me. Leaving your comfort zone and putting yourself out there is one of the bravest things you can do and I commend everyone that does it because I'm terrified of it. When BtR came out with this socially anxious mess of a main character that can barely hold a conversation, I finally felt seen in a way I never had before. And it got so absurdly popular out of nowhere that a lot of people must've felt the same way. I try to put myself out there at least a little more these days and BtR is no small part of the reason for that, but sometimes I still just don't wanna talk to anyone for a week",analysis,,True
"When Ayame crouched in pain with glowing marks all over her body, what I feared the most had happened. The Gods certainly has a sick sense of humour with their choice of her replacement. Pretty much all expression had drained off her face before she pointed the gun at her own head. She’s already dead inside, why not match it outside as well? Then another twist came. Nadeshiko could resurrect a recently deceased being using life forces from the surroundings. It’s mental how a young child could both be the Angel of Death and Angel of Life.",analysis,,True
"Yeah. I’m glad that Elfie got to prove that she’s not just some damsel in distress, atop a tower, that needs saving. I can only hope that she also manages to pull through against Zeo.",reaction,,True
It's hilarious how her strongest magic all have an origin in trying to basically monopolize Will lol.,reaction,,True
"How could you forgot mention her best known role of all time, the Wise Wolf Holo fom Spice and Wolf? Tenma in School Rumble, Makoto/Sailor Jupiter in Sailor Moon Crystal, Mao in Maoyu, Elda in Otaku Elf, Rui in the Cat's Eye remake, Lufas in Wild Last Boss Appeared, Mikumo in Macross Delta might be some other better roles of hers.",hot_take,,True
"Don't worry, he taught us that another master can't expel his dad in real life👍",reaction,,True
"I think so too, and then her defeating the Jormungand could have been a catalyst for regaining her magic. I think that could have been a massive step for Louise to value herself more, to show that she can be useful even as a normal girl I'm glad : D I enjoy talking to you too!",reaction,,True
"how is everyone noticing this but me damn, peak parallel tbh",reaction,,True
Where's *our* six month timeskip...,reaction,,True
I think they are good now(?),reaction,,True
